Title,URL,Text
Muscle loss on Ozempic: Antibody treatment may help prevent decline,https://www.medicalnewstoday.com/articles/novel-antibody-help-prevent-bone-muscle-loss-glp-1-drugs-ozempic-wegovy,"Studies suggest that weight loss induced by glucagon-like peptide-1 (GLP-1) drugs can also cause a decline in muscle mass and bone mineral density, similar to that observed in aging. A new study published in the Journal of Cachexia, Sarcopenia, and Muscle suggests that the antibody bimagrumab is effective in increasing muscle mass and bone density in a mouse model of muscle and bone loss. These findings suggest that bimagrumab could potentially help preserve not only muscle mass, as shown by previous research, but also help prevent bone loss in individuals using GLP-1 drugs for weight loss. The study’s author, Frederik Duch Bromer, a researcher at Aarhus University, Denmark, said, “Since the rise of incretin therapies like Wegovy and Mounjaro, scientists have been searching for ways to counteract the loss of muscle and bone mass often accompanying rapid weight loss. Our research shows that bimagrumab can mitigate even more severe muscle and bone loss than what typically occurs with weight loss therapies.” “As bimagrumab is now being repurposed to help preserve lean mass during weight loss, its ability to protect bone as well is especially relevant given the large number of people using these treatments,” Bromer told Medical News Today. A loss of muscle mass and a decline in bone density are common features of aging that often occur together. The loss of muscle mass and strength with aging is referred to as sarcopenia, whereas the decrease in bone mass and bone mineral density is referred to as osteoporosis. Besides old age, limited physical activity can also lead to muscle loss and osteoporosis. While medications are available for the treatment of osteoporosis, there is a lack of approved treatments for muscle loss. One of the categories of drugs currently under investigation for the treatment of muscle loss includes drugs that inhibit the activation of the activin receptor or the signaling pathway activated by this receptor. Inhibition of the activin signaling pathway leads to increased muscle mass and bone formation and enhanced blood cell formation. The antibody bimagrumab is an example of one such drug that binds to the activin receptors to inhibit the activation of the activin signaling pathway. Similar to other inhibitors of the activin signaling pathway, animal and clinical studies have shown that bimagrumab can increase muscle mass and lean body mass. The use of GLP-1 receptor agonists is associated with muscle mass loss and a decline in bone density. Currently, bimagrumab is being investigated in a clinical trial to evaluate its ability to prevent muscle loss in individuals using Wegovy, a type of GLP-1 drug. Bones and muscles not only cooperate with each other during movements, but muscles also release small proteins called myokines that impact bone health. However, it is not known whether bimagrumab can also simultaneously improve bone health along with increasing muscle mass. In the present study, researchers examined whether bimagrumab could improve bone health and increase muscle mass simultaneously. The inhibitors of the activin signaling pathway can also lead to an increase in blood cell production and potentially increase the risk of blood clots. Hence, it is essential to assess the risk of blood clots due to bimagrumab before it can be considered for preventing muscle and bone loss. In the present study, the researchers assessed the impact of bimagrumab on muscle and bone mass in healthy and immobilized mice, with the latter serving as a model of bone and muscle loss. To simulate the simultaneous loss of muscle mass and bone density, the researchers injected a group of mice with botulinum toxin into the quadriceps and the gastrocnemius, the major muscles of the hindlimb. The botulinum toxin causes paralysis of the hindlimb muscles, resulting in immobilization of the animal, followed by muscle mass loss and a decline in bone density. The healthy and immobilized mice in the bimagrumab group received two weekly antibody injections over 21 days, whereas those in the control groups received an injection of the vehicle. After 21 days, the mice in all groups were euthanized, and the muscles and bones in the right hindlimb were removed and evaluated. The researchers found that bimagrumab increased muscle mass, the size of muscle fibers, and bone mineral density in the hindlimb of both free-moving and immobilized mice. Bimagrumab also promoted new bone formation, including at the end of the thigh bone or femur, which is prone to fracture in older individuals. The scientists observed that the increase in muscle mass and bone mineral density was smaller in the immobilized mice, likely due to the potent action of botulinum toxin. Yet, these results demonstrate that bimagrumab could potentially help increase muscle mass and bone density in individuals at risk of sarcopenia and osteoporosis. The researchers also examined the impact of bimagrumab on blood cell formation at two and seven days after the injection of the antibody. Bimagrumab did not have an impact on blood cell formation or any other related factors, suggesting its safety for preserving muscle and bone mass in patients using GLP-1 drugs. However, more research and larger clinical trials will be needed to determine its effectiveness and safety. “While our study focused on a model of muscle and bone loss, it did not specifically examine bone loss related to obesity. Since weight loss drugs are mainly used by people with obesity, it is essential to explore how bimagrumab interacts with bone affected by obesity,” Bromer added."
Denmark Ozempic card to Trump Greenland threat - Trump Greenland threat Denmark may halt Ozempic obesity drug - India Today,https://www.indiatoday.in/world/story/donald-trump-greenland-tariff-threat-denmark-ozempic-weight-loss-drug-legos-2673180-2025-02-01,"Listen to Story If US President Donald Trump is indeed serious about his threat to acquire Greenland, the autonomous Danish territory, it may well affect the weight-loss journey of millions of obese Americans. Puzzled? The equation is simple. Denmark, despite having a population smaller than New York, has several trump cards up its sleeve, with the foremost being curbing or halting the exports of the popular weight-loss drug Ozempic and kids' favourite Lego toys. Ever since Trump won the US presidential election, the Republican has on several occasions floated the idea of buying Greenland. He has only escalated the pitch after taking over as US President last month, threatening punitive tariffs and even hinting at military action to take control of the strategically important island. However, Danish Prime Minister Mette Frederiksen, in a fiery phone call with Trump, made it clear that Greenland was ""not for sale"", the BBC reported. DENMARK TARIFF THREAT MAY HURT WAISTLINES OF AMERICANS The issue has threatened the possibility of an all-out trade war between the US and its NATO ally. However, it may turn out to be a pain in the waistlines of millions of Americans. In the past two years, the drugs Ozempic and Wegovy, made by Danish pharma giant Novo Nordisk, have revolutionised obesity and diabetes treatment in the United States - which has one of the highest obesity rates in the world. In fact, CDC data shows that in 23 American states, more than one in three adults (35%) has obesity. A study in the Journal of the American Medical Association has revealed that between 2021 and 2023, the number of Ozempic prescriptions in the US has jumped by 400 per cent. In the backdrop of this, if Trump does go on with steep tariffs on Denmark, it could jack up the prices of Ozempic and Wegovy. Presently, Americans have to shell out nearly $1,000 for each packet of Ozempic (without discounts or insurance). For Wegovy, it is $1,300 per package. The price of the drugs is already higher in the US than in other countries. Additionally, data by Trading Economics shows that the US imported medicines, vaccines and antibiotics worth $5.7 billion from ""pharma state"" Denmark in 2023. Even if the US wants to make such drugs from scratch, it doesn't have the resources as the active ingredient for Ozempic and Wegovy, called semaglutide, is made in Denmark. The widely popular Lego Group, the world's largest toymaker, is also based in Denmark. Besides, Denmark is also the leading supplier of hearing aids to America. Thus, even if Trump decides to go on with his tariff threats, there is no shortage of economic leverage for Denmark to hurt the United States.Published By: Abhishek DePublished On: Feb 1, 2025Must Watch"
"Shortage of Novo's Wegovy and Ozempic is resolved, FDA website shows",https://www.globalbankingandfinance.com/HEALTH-OBESITY-NOVO-0ba04163-5d5e-4266-a5ea-18a27bbac336,Take advantage of our newsletter subscription and stay informed on the go!
Ozempic blindness: New study flags unexpected side effect of weight loss drugs - The Times of India,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/ozempic-blindness-new-study-flags-unexpected-side-effect-of-weight-loss-drugs/articleshow/118148954.cms,"The TOI Lifestyle Desk is a dynamic team of dedicated journalists who, with unwavering passion and commitment, sift through the pulse of the nation to curate a vibrant tapestry of lifestyle news for The Times of India readers. At the TOI Lifestyle Desk, we go beyond the obvious, delving into the extraordinary. Consider us your lifestyle companion, providing a daily dose of inspiration and information. Whether you're seeking the latest fashion trends, travel escapades, culinary delights, or wellness tips, the TOI Lifestyle Desk is your one-stop destination for an enriching lifestyle experience.Read More Kareena's best wedding looks â10 new animal species discovered for the first time in 2024 10 birds that eat meat and other animals 9 reasons why pumpkin seed is a superfood 8 Indian wildlife destinations visitors are most excited about 10 health benefits of chewing cloves daily 10 wild animals known for their friendly nature 10 quotes to inspire and motivate you How to make Oats Omelette for a quick dinner"
"FDA Says Ozempic, Wegovy Shortage Resolved",https://www.drugtopics.com/view/fda-declares-shortage-of-ozempic-wegovy-resolved,"    Semaglutide has been in shortage since 2022 due to increased demand. The FDA has declared the shortage of semaglutide (Ozempic, Wegovy) has been resolved, confirming that the US supply of the prescription-only medications now meets or exceeds the current and projected demand. Semaglutide has been in shortage since March (Wegovy) and August (Ozempic) 2022 due to increased demand, according to the FDA.1,2 The FDA said that there may be intermittent and limited localized supply disruptions due to products moving through the supply chain. | Image Credit: Araki Illustrations | stock.adobe ""We are pleased the FDA has declared that supply of the only real, FDA-approved semaglutide medicines is resolved, affirming that Novo Nordisk is meeting or exceeding current and projected nationwide demand. No one should have to compromise their health due to misinformation and reach for fake or illegitimate knockoff drugs that pose significant safety risks to patients,"" Dave Moore, executive vice president of US operations and global business development and president of Novo Nordisk Inc, said in a statement.1 ""Patient safety remains our top priority, and, in line with our purpose to improve lives and health, we continue to partner, educate, and advocate for expanded, affordable access to our medicines for those who need and rely on them."" In a letter addressed to Novo Nordisk, Jacqueline Corrigan-Curay, JD, MD, acting director for the CDC and FDA, stated, “As a result of this review, we conclude that the information and data Novo Nordisk has provided to the FDA demonstrate that Novo Nordisk’s supply is currently meeting or exceeding demand for its semaglutide injection products and that Novo Nordisk has developed reserves that it now holds in its finished product inventory in addition to significant units of semi-finished product, such that supply will meet or exceed projected demand.”3 The FDA said that there may be intermittent and limited localized supply disruptions due to products moving through the supply chain, but it will not take action against compounders violating the Food, Drug & Cosmetic Act for state-licensed pharmacy or physician compounding under section 503A and for outsourcing facilities under sections 503B until April 22, 2025, and May 22, 2025, respectively. The agency can still take action against any other violations of any other statutory or regulatory requirements, including addressing unsafe or substandard quality products.2 Previously, the FDA noted that semaglutide injections were in shortage on October 2, 2024, but that Novo Nordisk had reported all but on presentation. On December 19, 2024, the FDA updated that after all presentations were reported, the product was still in shortage and the agency would actively monitor the drug availability to determine if the demand and projected demand for each drug exceeded the available supply.3 The FDA also affirmed that dulaglutide injection (Trulicity) and liraglutide (Victoza, Saxenda) injection are still in drug shortage but have presentations available.2 FDA Approves Chenodiol for Treatment of Cerebrotendinous Xanthomatosis Ctexli is the first FDA-approved treatment for adults with cerebrotendinous xanthomatosis. How Pharmacy Matches Perfectly With Nutrition Known as “The Nutrition Pharmacist,” Sarah Gray, PharmD, GAICD, recently joined Drug Topics to discuss her dual profession within health care. Type 1 Diabetes Linked With Increased Dementia Risk A recent metanalysis found that patients with type 1 diabetes had a 50% higher chance of developing dementia. Episode 8: Stay in Sync with Innovations in Medication Decision Support Episode 8 of Over the Counter discusses the new and exciting modernizations in the medication decision support space. FDA Accepts New Drug Application for Vatiquinone to Treat Friedreich Ataxia The FDA also granted priority review, with a Prescription Drug User Fee Act target action date of August 19, 2025. GLP-1 Oral Tablet Shows Favorable Safety Findings in Patients With Obesity ASC30, an investigational glucagon-like 1-peptide receptor agonist, demonstrates mean weight reductions from baseline of 4.3% and 6.3% for 2 separate cohorts. FDA Approves Chenodiol for Treatment of Cerebrotendinous Xanthomatosis Ctexli is the first FDA-approved treatment for adults with cerebrotendinous xanthomatosis. How Pharmacy Matches Perfectly With Nutrition Known as “The Nutrition Pharmacist,” Sarah Gray, PharmD, GAICD, recently joined Drug Topics to discuss her dual profession within health care. Type 1 Diabetes Linked With Increased Dementia Risk A recent metanalysis found that patients with type 1 diabetes had a 50% higher chance of developing dementia. Episode 8: Stay in Sync with Innovations in Medication Decision Support Episode 8 of Over the Counter discusses the new and exciting modernizations in the medication decision support space. FDA Accepts New Drug Application for Vatiquinone to Treat Friedreich Ataxia The FDA also granted priority review, with a Prescription Drug User Fee Act target action date of August 19, 2025. GLP-1 Oral Tablet Shows Favorable Safety Findings in Patients With Obesity ASC30, an investigational glucagon-like 1-peptide receptor agonist, demonstrates mean weight reductions from baseline of 4.3% and 6.3% for 2 separate cohorts. 2 Commerce Drive Cranbury, NJ 08512 609-716-7777"
"FDA says Ozempic, Wegovy shortage is over",https://endpts.com/fda-says-ozempic-wegovy-shortage-is-over/,"The FDA said Fri­day that the short­age of semaglu­tide, the main in­gre­di­ent in No­vo Nordisk’s GLP-1 drugs Ozem­pic and We­govy, has … Get free access to a limited number of articles, plus choose newsletters to get straight to your inbox."
FDA: Ozempic and Wegovy drug shortage is over,https://www.usatoday.com/story/money/2025/02/21/ozempic-wegovy-drug-shortage-is-over-fda/79428396007/,"The Food and Drug Administration on Friday said the shortage of Novo Nordisk's weight-loss and diabetes drugs Wegovy and Ozempic is resolved, a move that could limit the availability of cheaper compounded versions of the wildly popular medications. In a statement, the FDA said it confirmed Novo Nordisk's ""stated product availability and manufacturing capacity"" of these prescription drugs meets or exceeds current and projected demand. The agency warned consumers and doctors might still experience ""limited localized supply disruptions"" as the products are shipped from drug factories to distributors to pharmacies. The Danish drugmaker Novo Nordisk said it has invested $6.5 billion this year in the United States to bolster drug production facilities that are operating 24/7, shipping Wegovy and Ozempic to wholesalers. Pharmaceutical giants that market lucrative weight-loss drugs have battled with firms that sell less expensive versions made by compounding pharmacies. The FDA allows compounding pharmacies to sell copies of drugs when the medications are in short supply. But compounding pharmacies face stiffer restrictions when a drug shortage is resolved. Need a break? Play the USA TODAY Daily Crossword Puzzle. Companies that market compounded drugs − combining, mixing or altering drug ingredients − have prospered amid shortages of the class of weight-loss medications, called GLP-1 (glucagon-like peptide-1) receptor agonists. Hims & Hers, which launched a Super Bowl ad touting its weight loss product offerings, markets a compounded version of semaglutide, the active ingredient in Ozempic and Wegovy. Shares of Hims & Hers plunged 17% in mid-morning trading after the FDA's announcement. The FDA said it won't take enforcement action against pharmacies or doctors that make compounded semaglutide due to the shortage before April 22. Facilities that compound, distribute or dispense semaglutide injections won't face enforcement action before May 22. In December, the FDA declared that Eli Lilly's weight loss and diabetes medication tirzepatide, sold under the brand names Mounjaro and Zepbound, was no longer in short supply. That meant pharmacies had to discontinue ""compounding, distributing or dispensing"" tirzepatide as of Feb 18. Suppliers that produce batches of the drug and sell to others have until March 19 to cease distribution. Compounding pharmacies are regulated by state boards of pharmacy and source ingredients are usually obtained from factories registered with the FDA. However, the federal agency doesn't verify the safety or effectiveness of compounding pharmacies."
FDA declares end to Wegovy and Ozempic shortage - CBS News,https://www.cbsnews.com/news/fda-declares-end-to-wegovy-and-ozempic-shortage/,"                      Alexander Tin Edited By                       Nicole Brown Chau February 21, 2025 / 11:42 AM EST           / CBS News The Food and Drug Administration announced Friday it had officially declared an end to the nationwide shortage of Ozempic and Wegovy, medications used for diabetes and weight loss. The agency first declared a shortage of semaglutide, the main ingredient used to make Ozempic and Wegovy, in 2022. The FDA's announcement comes months after drugmaker Novo Nordisk told the agency that all dosages of its semaglutide product had become fully available nationwide. The company said in a statement that it confirms the supply of the medications, which are prescription-only, ""now meets or exceeds both current and projected U.S. demand."" ""This update comes after ongoing dialogue with the FDA, and substantial efforts by Novo Nordisk to increase manufacturing capacity, including $6.5 billion dollars of investments in the U.S. this year alone,"" the drugmaker said. The FDA said that it will allow compounding pharmacies to continue to make copies of semaglutide for now, which they are usually allowed to do only while the drug is in shortage. That leeway will continue until April 22 for many pharmacies and May 22 for outsourcing facilities to ""avoid unnecessary disruption"" to patients, the agency said. This is similar to what the FDA has granted compounding pharmacies making copies of Eli Lilly's diabetes and weight loss drug tirzepatide, amid an ongoing lawsuit brought by outsourcing facilities disputing the FDA's decision to declare the shortage of that weight loss drug over. Some compounding pharmacies and outsourcing facilities have made millions making copies of semaglutide and tirzepatide during their shortages in recent years, amid a flurry of companies cashing in on demand for the drugs. The FDA is also facing calls to do more to crack down on counterfeits of the drugs, including from state attorneys general who urged the agency this week to stop illegal imports from overseas. ""Demand for the medications Mounjaro, Zepbound, Ozempic, and Wegovy (GLP-1 drugs) has skyrocketed, but supply shortages and high costs have created opportunities for wrongdoers to cash in and endanger consumers,"" they wrote. Alexander Tin is a digital reporter for CBS News based in the Washington, D.C. bureau. He covers federal public health agencies. © 2025 CBS Interactive Inc. All Rights Reserved."
"In Brazil's São Paulo, armed gangs on the hunt for something more sought-after than gold—Ozempic",https://theprint.in/world/in-brazils-sao-paulo-armed-gangs-on-the-hunt-for-something-more-sought-after-than-gold-ozempic/2504921/,"New Delhi: Ozempic is the new gold for thieves and armed gangs. In São Paulo, Brazil, armed robbers are targeting pharmacies in smash-and-grabs specifically for the ‘weight-loss’ drug that’s used to treat type-2 diabetes. Thieves looking to make a quick buck are cashing in on the growing demand for Ozempic and other semaglutide-based drugs like Wegovy and Saxenda among people who are convinced that they are miracle cures for weight loss.  This is especially true in Brazil, where body image is paramount but obesity is on the rise, according to a report in The New York Times. According to a health ministry study quoted in the report, in Brazil’s largest cities, obesity increased to 24 percent in 2023 from nearly 12 percent in 2006.  					Show Full Article New Delhi: Ozempic is the new gold for thieves and armed gangs. In São Paulo, Brazil, armed robbers are targeting pharmacies in smash-and-grabs specifically for the ‘weight-loss’ drug that’s used to treat type-2 diabetes. Thieves looking to make a quick buck are cashing in on the growing demand for Ozempic and other semaglutide-based drugs like Wegovy and Saxenda among people who are convinced that they are miracle cures for weight loss.  This is especially true in Brazil, where body image is paramount but obesity is on the rise, according to a report in The New York Times. According to a health ministry study quoted in the report, in Brazil’s largest cities, obesity increased to 24 percent in 2023 from nearly 12 percent in 2006.  					Show Full Article Thieves looking to make a quick buck are cashing in on the growing demand for Ozempic and other semaglutide-based drugs like Wegovy and Saxenda among people who are convinced that they are miracle cures for weight loss. This is especially true in Brazil, where body image is paramount but obesity is on the rise, according to a report in The New York Times. According to a health ministry study quoted in the report, in Brazil’s largest cities, obesity increased to 24 percent in 2023 from nearly 12 percent in 2006.  					Show Full Article This is especially true in Brazil, where body image is paramount but obesity is on the rise, according to a report in The New York Times. According to a health ministry study quoted in the report, in Brazil’s largest cities, obesity increased to 24 percent in 2023 from nearly 12 percent in 2006. An NYT analysis of the São Paulo State database showed that theft of Ozempic has risen in the last three years—from one incident in 2022 when four boxes of Ozempic were taken from a single drugstore to 18 in 2023 and 39 in 2024. “The wave of thefts began when social media started openly discussing the drug, particularly as celebrity and influencers showcased dramatic weight loss,” Renata Goncalves, head of a union of pharmacists in Sao Paulo, told the NYT. The desperation for the drug is real, and world over, the black market is thriving. Break-ins at pharmacies have also been reported in Michigan, US, and Santiago de Copostela, Spain.  In Brazil’s Rio de Janeiro, for instance, free Ozempic even became a campaign promise when the mayor actively advocated the drug for weight loss and promised to make it available for free. “Rio will be a city where there will be no more fat people; everyone will be taking Ozempic at family clinics,” the mayor said while seeking re-election last year. “This is the first time I’ve seen weight loss drugs actually targeted for theft,” Issa Shain, Police chief in Dearborn, Michigan, told the media. But the drugs are not cheap and are seen as a luxury item. In India, people are spending as much as Rs 80,000 on a six-month course or scouring the black market for a shot. There are fears that this trend will continue to rise. The patent for semaglutide, the main ingredient of the Ozempic drug, will expire in 2026 in a number of countries, including India, China and Brazil. Only then will manufacturers in these countries be able to market generic and cheaper versions of the drug. Also Read:  I was a pregnant penguin, see my before-after pics. 66-yr-old’s Ozempic to Mounjaro journey An NYT analysis of the São Paulo State database showed that theft of Ozempic has risen in the last three years—from one incident in 2022 when four boxes of Ozempic were taken from a single drugstore to 18 in 2023 and 39 in 2024. “The wave of thefts began when social media started openly discussing the drug, particularly as celebrity and influencers showcased dramatic weight loss,” Renata Goncalves, head of a union of pharmacists in Sao Paulo, told the NYT. The desperation for the drug is real, and world over, the black market is thriving. Break-ins at pharmacies have also been reported in Michigan, US, and Santiago de Copostela, Spain.  In Brazil’s Rio de Janeiro, for instance, free Ozempic even became a campaign promise when the mayor actively advocated the drug for weight loss and promised to make it available for free. “Rio will be a city where there will be no more fat people; everyone will be taking Ozempic at family clinics,” the mayor said while seeking re-election last year. “This is the first time I’ve seen weight loss drugs actually targeted for theft,” Issa Shain, Police chief in Dearborn, Michigan, told the media. But the drugs are not cheap and are seen as a luxury item. In India, people are spending as much as Rs 80,000 on a six-month course or scouring the black market for a shot. There are fears that this trend will continue to rise. The patent for semaglutide, the main ingredient of the Ozempic drug, will expire in 2026 in a number of countries, including India, China and Brazil. Only then will manufacturers in these countries be able to market generic and cheaper versions of the drug. Also Read:  I was a pregnant penguin, see my before-after pics. 66-yr-old’s Ozempic to Mounjaro journey “The wave of thefts began when social media started openly discussing the drug, particularly as celebrity and influencers showcased dramatic weight loss,” Renata Goncalves, head of a union of pharmacists in Sao Paulo, told the NYT. The desperation for the drug is real, and world over, the black market is thriving. Break-ins at pharmacies have also been reported in Michigan, US, and Santiago de Copostela, Spain.  In Brazil’s Rio de Janeiro, for instance, free Ozempic even became a campaign promise when the mayor actively advocated the drug for weight loss and promised to make it available for free. “Rio will be a city where there will be no more fat people; everyone will be taking Ozempic at family clinics,” the mayor said while seeking re-election last year. “This is the first time I’ve seen weight loss drugs actually targeted for theft,” Issa Shain, Police chief in Dearborn, Michigan, told the media. But the drugs are not cheap and are seen as a luxury item. In India, people are spending as much as Rs 80,000 on a six-month course or scouring the black market for a shot. There are fears that this trend will continue to rise. The patent for semaglutide, the main ingredient of the Ozempic drug, will expire in 2026 in a number of countries, including India, China and Brazil. Only then will manufacturers in these countries be able to market generic and cheaper versions of the drug. Also Read:  I was a pregnant penguin, see my before-after pics. 66-yr-old’s Ozempic to Mounjaro journey The desperation for the drug is real, and world over, the black market is thriving. Break-ins at pharmacies have also been reported in Michigan, US, and Santiago de Copostela, Spain. In Brazil’s Rio de Janeiro, for instance, free Ozempic even became a campaign promise when the mayor actively advocated the drug for weight loss and promised to make it available for free. “Rio will be a city where there will be no more fat people; everyone will be taking Ozempic at family clinics,” the mayor said while seeking re-election last year. “This is the first time I’ve seen weight loss drugs actually targeted for theft,” Issa Shain, Police chief in Dearborn, Michigan, told the media. But the drugs are not cheap and are seen as a luxury item. In India, people are spending as much as Rs 80,000 on a six-month course or scouring the black market for a shot. There are fears that this trend will continue to rise. The patent for semaglutide, the main ingredient of the Ozempic drug, will expire in 2026 in a number of countries, including India, China and Brazil. Only then will manufacturers in these countries be able to market generic and cheaper versions of the drug. Also Read:  I was a pregnant penguin, see my before-after pics. 66-yr-old’s Ozempic to Mounjaro journey In Brazil’s Rio de Janeiro, for instance, free Ozempic even became a campaign promise when the mayor actively advocated the drug for weight loss and promised to make it available for free. “Rio will be a city where there will be no more fat people; everyone will be taking Ozempic at family clinics,” the mayor said while seeking re-election last year. “This is the first time I’ve seen weight loss drugs actually targeted for theft,” Issa Shain, Police chief in Dearborn, Michigan, told the media. But the drugs are not cheap and are seen as a luxury item. In India, people are spending as much as Rs 80,000 on a six-month course or scouring the black market for a shot. There are fears that this trend will continue to rise. The patent for semaglutide, the main ingredient of the Ozempic drug, will expire in 2026 in a number of countries, including India, China and Brazil. Only then will manufacturers in these countries be able to market generic and cheaper versions of the drug. Also Read:  I was a pregnant penguin, see my before-after pics. 66-yr-old’s Ozempic to Mounjaro journey “This is the first time I’ve seen weight loss drugs actually targeted for theft,” Issa Shain, Police chief in Dearborn, Michigan, told the media. But the drugs are not cheap and are seen as a luxury item. In India, people are spending as much as Rs 80,000 on a six-month course or scouring the black market for a shot. There are fears that this trend will continue to rise. The patent for semaglutide, the main ingredient of the Ozempic drug, will expire in 2026 in a number of countries, including India, China and Brazil. Only then will manufacturers in these countries be able to market generic and cheaper versions of the drug. Also Read:  I was a pregnant penguin, see my before-after pics. 66-yr-old’s Ozempic to Mounjaro journey But the drugs are not cheap and are seen as a luxury item. In India, people are spending as much as Rs 80,000 on a six-month course or scouring the black market for a shot. There are fears that this trend will continue to rise. The patent for semaglutide, the main ingredient of the Ozempic drug, will expire in 2026 in a number of countries, including India, China and Brazil. Only then will manufacturers in these countries be able to market generic and cheaper versions of the drug. Also Read:  I was a pregnant penguin, see my before-after pics. 66-yr-old’s Ozempic to Mounjaro journey There are fears that this trend will continue to rise. The patent for semaglutide, the main ingredient of the Ozempic drug, will expire in 2026 in a number of countries, including India, China and Brazil. Only then will manufacturers in these countries be able to market generic and cheaper versions of the drug. (Edited by Sanya Mathur)"
Ozempic made her sick until the Michigan woman found a loophole and lost 60 lbs | - The Times of India,https://timesofindia.indiatimes.com/life-style/health-fitness/weight-loss/ozempic-made-her-sick-until-the-michigan-woman-found-a-loophole-and-lost-60-lbs/articleshow/118456048.cms,"The TOI Lifestyle Desk is a dynamic team of dedicated journalists who, with unwavering passion and commitment, sift through the pulse of the nation to curate a vibrant tapestry of lifestyle news for The Times of India readers. At the TOI Lifestyle Desk, we go beyond the obvious, delving into the extraordinary. Consider us your lifestyle companion, providing a daily dose of inspiration and information. Whether you're seeking the latest fashion trends, travel escapades, culinary delights, or wellness tips, the TOI Lifestyle Desk is your one-stop destination for an enriching lifestyle experience.Read More Kareena's best wedding looks â10 new animal species discovered for the first time in 2024 10 birds that eat meat and other animals 9 reasons why pumpkin seed is a superfood 8 Indian wildlife destinations visitors are most excited about 10 health benefits of chewing cloves daily 10 wild animals known for their friendly nature 10 quotes to inspire and motivate you How to make Oats Omelette for a quick dinner"
