Drug,Mentions
*   dihydrotachysterol,2
*   rifampicin,1
*   naproxen,3
*   oxaprozin,2
*   clozapine,12
*   olanzapine,7
*   5-fluorouracil,1
*   azithromycin,6
*   5-FU,3
BH-AC,2
cytosine arabinoside,3
idarubicin,1
riluzole,2
5-aminosalicylic acid,9
lidocaine,3
bupivacaine,3
aspirin,5
methotrexate,30
MTX,30
Epoprostenol,4
Prednisone,15
Hydroxyurea,6
Calcipotriol,3
Pravastatin,3
Aspirin,10
Omeprazole,6
Salazosulfapyridine,5
Olanzapine,23
Diclofenac,2
Heparin,31
Clozapine,25
All-trans-retinoic acid,1
Paroxetine,4
Insulin,22
Protamine,8
NPH insulin,2
*   insulin,3
*   brimonidine,6
*   Ceftriaxone,3
*   methotrexate,23
Methotrexate,70
Arsenic trioxide,1
Minocycline,12
5-FU,21
Venlafaxine,11
Cyclophosphamide,29
Cytoxan,1
Phenytoin,29
Losartan,4
Danazol,10
Danaparoid,2
Taxane,1
Doxetaxel,1
Sodium phosphate,2
Sodium biphosphate,1
Amiodarone,55
Diphenylhydantoin,7
D-penicillamine,14
D-Pen,3
Corticosteroid,10
Methimazole,9
Alendronate sodium,1
Alendronate,3
*   gemcitabine,3
*   infliximab,11
*   codeine,2
*   Hydroxyurea,2
*   sodium phenylbutyrate,1
HU,4
Sodium phenylbutyrate,1
SPB,1
caffeine,4
*   citalopram,7
*   desmethylclomipramine,1
*   indinavir,1
*   risperidone,9
*   valproate,3
*   pyridostigmine,1
*   azathioprine,1
*   theophylline,1
Theophylline,14
Methylene blue,2
Ifosfamide,22
Gliclazide,5
TCA,3
Nitrofurantoin,18
nitrofurantoin,3
levodopa,3
interferon-alpha,7
cyclophosphamide,10
uracil-tegafur,3
UFT,3
Ibuprofen,14
Naloxone,2
Flecainide,5
L-asparaginase,21
Nitroglycerin,3
Troglitazone,7
Fluoxetine,12
Zolmitriptan,3
Carboplatin,12
Nimesulide,4
Etoposide,13
Cyanamide,9
tacrolimus,7
morphine,7
naloxone,4
vasopressin,6
risperidone,4
rifampicin,8
ethambutol,13
methylprednisolone,9
mitomycin C,6
carboplatin,6
gemcitabine,12
valproate,11
sodium valproate,3
lamotrigine,4
CyA,2
Cyclosporine,23
Colchicine,16
Paclitaxel,11
Phenylbutazone,2
atenolol,1
gemfibrozil,2
stavudine,4
lamivudine,2
propafenone,5
pilsicainide,1
Pilsicainide,1
Risperidone,19
Tiagabine,5
Lithium,53
Carbamazepine,42
Ritonavir,6
Saquinavir,1
Calcitonin,2
Miacalcic,1
Salmon calcitonin,1
Calsynar,1
Imipenem/cilastatin,5
Gabapentin,2
Vigabatrin,4
vigabatrin,4
interferon,11
IFN-alpha,17
ribavirin,17
vancomycin,5
*   hydroquinone,2
*   tretinoin,1
*   bleomycin,4
*   warfarin,6
*   cholestyramine,1
*   PCCs,3
*   recombinant VIIa,2
Quinine,9
Fludarabine,10
Lithium Carbonate,2
Sertraline,12
venlafaxine,2
heparin,12
warfarin,6
nevirapine,4
acarbose,1
losartan,2
etanercept,9
ARA-C,3
Cytosine arabinoside,8
Quetiapine,10
Clomipramine,5
5-fluorouracil,25
Acetazolamide,8
Meloxicam,4
Spironolactone,5
Oxaliplatin,2
Clofazimine,10
Enoxaparin,11
Cibenzoline,1
Fluvoxamine,9
fluvoxamine,6
meglumine antimoniate,2
allopurinol,2
ketoconazole,4
omeprazole,3
pantoprazole,3
lansoprazole,3
Levodopa,2
Leflunomide,8
Valacyclovir,3
Cyproterone acetate,4
Levofloxacin,4
Ticlopidine,10
Methadone,2
Succinylcholine,1
*   Succinylcholine,2
*   Ethanol,2
*   Adenosine,3
*   Methylprednisolone,1
*   Procaterol,1
*   CBZ,2
methimazole,2
MMI,1
didanosine,2
dexamethasone,2
cisplatin,4
metformin,4
tobramycin,7
gentamycin,1
amprenavir,2
APV,1
Amprenavir,1
Gemcitabine,32
Vancomycin,16
Taxol,2
sodium aurothiomalate,1
oxaliplatinum,3
Accutane,5
pranlukast,1
ONO-1078,1
Pranlukast,5
Indinavir,8
Rofecoxib,3
LTG,1
valproic acid,8
olanzapine,19
salsalate,4
Amphotericin B,24
Lorazepam,5
Didanosine,2
Bupivacaine,2
Dipivefrin,5
Sulphasalazine,4
Cisplatin,38
Vindesine,1
Scopolamine,3
Vincristine,18
Amodiaquine,1
Artesunate,1
amodiaquine,1
artesunate,1
8-methoxypsoralen,2
8-MOP,2
benztropine,1
quetiapine,5
ofloxacin,5
Ofloxacin,5
G-CSF,10
Liothyronine,1
Triiodothyronine,1
Mefloquine,7
Halofantrine,1
Methanol,2
Fomepizole,1
Octreotide,5
octreotide,5
tamoxifen,15
INH,11
carbamazepine,15
isonicotinic acid hydrazide,1
Metoclopramide,16
Haloperidol,6
Captopril,21
Warfarin,15
Interferon alpha,14
Ethanol,2
itraconazole,18
porcine factor VIII,1
pFVIII,3
interferon alfa,3
mirtazapine,7
Mirtazapine,1
