Drug,Symptom,Count
drug,symptom,4292
drug,[cls],4139
[cls],symptom,1399
[cls],[cls],1397
-,symptom,406
-,[cls],384
drug,syndrome,280
drug,-,239
drug,acute,215
drug,renal,173
drug,toxicity,169
drug,disease,161
drug,failure,155
drug,hepatitis,136
methotrexate,symptom,124
drug,pulmonary,119
methotrexate,[cls],119
drug,',111
interferon,symptom,108
interferon,[cls],105
drug,s,93
drug,of,92
drug,hypersensitivity,91
drug,chronic,88
lithium,symptom,88
lithium,[cls],87
drug,arthritis,86
drug,cancer,78
[cls],toxicity,76
alpha,symptom,76
drug,fever,76
alpha,[cls],74
drug,seizures,67
acid,symptom,67
drug,rheumatoid,67
drug,leukemia,66
5,symptom,64
[cls],acute,64
chemotherapy,symptom,64
amiodarone,symptom,64
amiodarone,[cls],64
chemotherapy,[cls],63
drug,interstitial,63
drug,symptoms,62
drug,hepatic,62
5,[cls],61
drug,neurotoxicity,61
acid,[cls],61
[cls],-,61
carbamazepine,symptom,60
carbamazepine,[cls],60
heparin,symptom,58
drug,pneumonitis,57
drug,disorder,56
drug,cutaneous,56
drug,liver,56
clozapine,[cls],54
clozapine,symptom,54
[cls],renal,54
[cls],failure,54
-,syndrome,54
heparin,[cls],53
drug,loss,53
drug,thrombocytopenia,53
drug,reaction,53
drug,skin,53
drug,the,53
drug,carcinoma,53
drug,hypertension,52
drug,diabetes,52
drug,pain,50
[cls],pulmonary,50
drug,neuropathy,50
insulin,symptom,49
gemcitabine,symptom,47
drug,hepatotoxicity,47
olanzapine,[cls],47
olanzapine,symptom,47
insulin,[cls],47
mtx,symptom,46
drug,visual,46
[cls],syndrome,46
sodium,symptom,46
cisplatin,symptom,46
cisplatin,[cls],46
mtx,[cls],46
gemcitabine,[cls],45
ifn,symptom,45
drug,cardiac,44
drug,necrosis,44
drug,rash,44
drug,dysfunction,44
ifn,[cls],44
drug,infection,44
drug,c,44
drug,edema,43
-,acute,43
drug,lupus,43
drug,pancreatitis,42
drug,eruption,42
drug,injury,41
sodium,[cls],41
infliximab,symptom,40
drug,reactions,40
drug,and,40
phenytoin,symptom,40
drug,tachycardia,40
l,symptom,39
phenytoin,[cls],39
drug,anemia,39
drug,fibrosis,39
beta,symptom,39
[cls],neurotoxicity,39
drug,rhabdomyolysis,39
cyclophosphamide,symptom,38
drug,colitis,38
[cls],hepatitis,38
l,[cls],38
infliximab,[cls],37
drug,lung,37
tamoxifen,symptom,37
drug,toxic,37
cyclosporine,symptom,37
drug,agranulocytosis,37
cyclophosphamide,[cls],37
beta,[cls],37
interferon,hepatitis,36
drug,ventricular,36
cyclosporine,[cls],36
[cls],disease,36
drug,psoriasis,35
drug,encephalopathy,35
drug,respiratory,35
heparin,thrombocytopenia,35
drug,cell,34
-,disease,34
drug,nephrotic,34
drug,systemic,34
drug,heart,34
drug,dermatitis,33
bleomycin,[cls],33
tamoxifen,[cls],33
bleomycin,symptom,33
d,symptom,33
d,[cls],33
drug,hemorrhage,32
risperidone,[cls],32
drug,thrombosis,32
drug,like,32
risperidone,symptom,32
penicillamine,symptom,32
alpha,hepatitis,31
captopril,[cls],31
[cls],fever,31
penicillamine,[cls],31
-,leukemia,31
interferon,chronic,31
rituximab,symptom,31
drug,fulminant,31
captopril,symptom,31
drug,overdose,30
ciprofloxacin,[cls],30
ciprofloxacin,symptom,30
fluorouracil,symptom,30
rituximab,[cls],30
alpha,chronic,30
drug,myocardial,30
interferon,c,30
drug,multiple,30
-,',30
b,symptom,29
warfarin,symptom,29
drug,hemolytic,29
fluorouracil,[cls],29
warfarin,[cls],29
drug,allergic,29
ethambutol,symptom,29
drug,glaucoma,29
drug,eosinophilia,29
colchicine,[cls],28
amphotericin,symptom,28
drug,diabetic,28
colchicine,symptom,28
drug,asthma,28
drug,vasculitis,28
drug,infarction,28
ethambutol,[cls],28
-,s,27
alpha,c,27
drug,disorders,27
drug,drug,27
b,[cls],27
drug,optic,27
drug,tumor,26
drug,acidosis,26
-,hepatitis,26
[cls],neuropathy,26
drug,crohn,26
drug,status,26
ifosfamide,[cls],26
drug,malignant,26
drug,neutropenia,26
-,chronic,26
ifosfamide,symptom,26
drug,coronary,26
amphotericin,[cls],26
propranolol,[cls],25
propranolol,symptom,25
drug,hypotension,25
[cls],interstitial,25
drug,hyponatremia,25
[cls],symptoms,25
anti,symptom,25
drug,pneumonia,25
drug,damage,25
ribavirin,symptom,24
fu,symptom,24
drug,intoxication,24
asparaginase,symptom,24
ribavirin,[cls],24
fu,[cls],24
asparaginase,[cls],24
drug,cardiomyopathy,24
quinine,symptom,24
acyclovir,symptom,24
fluoxetine,[cls],24
fluoxetine,symptom,24
drug,bleeding,24
drug,dyskinesia,24
valproate,symptom,24
drug,erythematosus,24
drug,seizure,24
drug,lesions,23
anti,[cls],23
drug,insufficiency,23
drug,breast,23
vincristine,symptom,23
vincristine,[cls],23
valproate,[cls],23
theophylline,[cls],23
theophylline,symptom,23
drug,lymphoma,23
drug,depression,23
drug,fibrillation,23
drug,central,23
drug,leukopenia,23
-,c,22
drug,sclerosis,22
itraconazole,[cls],22
drug,nephritis,22
drug,akathisia,22
itraconazole,symptom,22
drug,atrial,22
[cls],disorder,22
[cls],rash,22
acyclovir,[cls],22
[cls],pneumonitis,22
isoniazid,symptom,22
c,[cls],22
c,symptom,22
calcium,symptom,22
vancomycin,[cls],22
drug,schizophrenia,22
isoniazid,[cls],22
vancomycin,symptom,22
[cls],hepatic,21
valproic,symptom,21
quinine,[cls],21
tacrolimus,[cls],21
[cls],thrombocytopenia,21
inhibitor,[cls],21
drug,block,21
drug,anaphylaxis,21
drug,thyrotoxicosis,21
inhibitor,symptom,21
drug,autoimmune,21
verapamil,[cls],21
calcium,[cls],21
propylthiouracil,symptom,21
drug,mellitus,21
drug,peripheral,21
verapamil,symptom,21
drug,deficiency,21
prednisone,[cls],20
alfa,symptom,20
prednisone,symptom,20
