Drug,Symptom,Count
-,syndrome,46
-,acute,39
interferon,hepatitis,32
heparin,thrombocytopenia,32
-,disease,30
interferon,c,30
interferon,chronic,29
alpha,hepatitis,28
alpha,chronic,28
alpha,c,27
-,leukemia,27
-,s,26
drug,drug,25
-,',24
-,chronic,24
-,hepatitis,22
-,c,22
-,-,20
drug,syndrome,18
ribavirin,c,17
tamoxifen,endometrial,17
alpha,disease,17
lithium,-,16
mp,renal,16
lithium,toxicity,15
methotrexate,acute,15
lithium,syndrome,14
ribavirin,hepatitis,14
-,symptom,14
heparin,thrombosis,14
-,encephalopathy,14
-,renal,14
interferon,syndrome,13
drug,eruption,13
-,toxicity,13
methotrexate,arthritis,13
tamoxifen,carcinoma,13
drug,symptom,13
-,nephrotic,12
acid,acute,12
-,anemia,12
methotrexate,psoriasis,12
ribavirin,chronic,12
methotrexate,rheumatoid,12
cs,leishmaniasis,12
carboplatin,hypersensitivity,12
infliximab,s,12
interferon,disease,11
-,of,11
-,pulmonary,11
amphotericin,cardiac,11
-,failure,11
interferon,multiple,10
lithium,diabetes,10
methotrexate,neurotoxicity,10
-,multiple,10
-,pancreatitis,10
methotrexate,-,10
drug,-,10
b,cardiac,10
beta,syndrome,10
cbdca,hypersensitivity,10
tamoxifen,breast,10
-,sclerosis,10
amiodarone,thyrotoxicosis,10
mtx,toxicity,10
fluoxetine,akathisia,10
-,dermatitis,10
lithium,insipidus,10
carbamazepine,toxicity,9
verapamil,asthma,9
tamoxifen,cancer,9
quinine,thrombocytopenia,9
interferon,sclerosis,9
beta,multiple,9
beta,sclerosis,9
-,skin,9
-,contact,9
-,allergic,9
methotrexate,syndrome,9
drug,hypersensitivity,9
-,hepatotoxicity,9
ethambutol,visual,8
methotrexate,pulmonary,8
fentanyl,syndrome,8
clozapine,agranulocytosis,8
amiodarone,de,8
methotrexate,eruption,8
cisplatin,of,8
penicillamine,arthritis,8
ethambutol,optic,8
mp,failure,8
-,symptoms,8
clozapine,schizophrenia,8
mitomycin,hemolytic,8
penicillamine,rheumatoid,8
captopril,renal,8
-,myelogenous,8
methotrexate,toxicity,8
aspirin,meningioma,8
lithium,neurotoxicity,8
-,aml,8
pegylated,chronic,8
-,hemolytic,8
ifn,disease,8
methotrexate,papular,8
interferon,optic,8
colchicine,myopathy,8
alpha,',8
-,dysfunction,8
-,thyroid,8
amiodarone,hypothyroidism,8
methotrexate,leukoencephalopathy,8
interferon,-,8
interferon,',8
gemcitabine,hus,8
acyclovir,neurotoxicity,8
2b,chronic,8
phenytoin,hypersensitivity,8
platinum,hypersensitivity,8
bleomycin,toxicity,7
interferon,nephrotic,7
-,neurotoxicity,7
ifn,chronic,7
lansoprazole,thrombocytopenia,7
drug,disease,7
ifn,c,7
ifn,hepatitis,7
mitomycin,syndrome,7
retinoic,acute,7
trans,acute,7
-,neutrophilic,7
all,acute,7
-,cell,7
5,acute,7
c,hemolytic,7
insulin,lipoatrophy,7
phenytoin,toxicity,7
rituximab,acute,7
pegylated,c,7
-,hashimoto,7
ifn,',7
alpha,thyroid,7
infliximab,',7
leflunomide,arthritis,7
amiodarone,pancreatitis,7
fentanyl,serotonin,7
-,injury,7
-,systemic,7
propranolol,bronchospasm,7
amiodarone,acute,7
b,seizures,7
methotrexate,renal,7
ofloxacin,toxic,7
drug,toxicity,7
ofloxacin,epidermal,7
ofloxacin,necrolysis,7
-,necrolysis,7
captopril,acute,7
-,epidermal,7
-,toxic,7
drug,interstitial,7
-,infection,7
cisplatin,colitis,7
-,fibrosis,7
gold,arthritis,7
gold,rheumatoid,7
drug,fever,7
-,seizures,7
indapamide,diabetes,7
alfa,c,7
5,-,7
lithium,manic,7
infliximab,lupus,7
olanzapine,hyperglycemia,7
heparin,necrosis,7
heparin,skin,7
cyclosporine,hypersensitivity,7
itraconazole,hepatitis,7
infliximab,crohn,6
ifn,visual,6
captopril,failure,6
capecitabine,headache,6
ampicillin,seizures,6
asparaginase,leukemia,6
asparaginase,pancreatitis,6
l,pancreatitis,6
fludarabine,aiha,6
propylthiouracil,hepatic,6
heparin,hit,6
ifosfamide,epilepticus,6
fludarabine,lung,6
phenytoin,-,6
-,akathisia,6
dapsone,hypersensitivity,6
mequitazine,photosensitivity,6
1a,syndrome,6
drug,acute,6
alfa,chronic,6
colchicine,weakness,6
carbamazepine,sle,6
chemotherapy,syndrome,6
tegaserod,ischemic,6
chemotherapy,-,6
tegaserod,colitis,6
drug,pulmonary,6
chemotherapy,acute,6
beta,nephrotic,6
bleomycin,hyperpigmentation,6
gemcitabine,syndrome,6
leflunomide,rheumatoid,6
ethambutol,tuberculosis,6
infliximab,disease,6
interferon,s,6
infliximab,-,6
acetate,prostate,6
risperidone,dyskinesia,6
mtx,arthritis,6
-,coronary,6
alprazolam,disorder,6
clarithromycin,failure,6
mtx,ra,6
quinine,microangiopathy,6
drug,symptoms,6
nitrofurantoin,pulmonary,6
mtx,disease,6
dapsone,syndrome,6
tigecycline,pancreatitis,6
-,reversible,6
desmopressin,hyponatremia,6
mtx,renal,6
penicillamine,s,6
d,hepatotoxicity,6
amphotericin,seizures,6
gemcitabine,hemolytic,6
vincristine,neurotoxicity,6
phenolphthalein,ten,6
interferon,leukemia,6
-,necrosis,6
gemcitabine,uremic,6
insulin,hyperglycemia,6
ifosfamide,status,6
ethambutol,neuropathy,6
methotrexate,pneumonitis,6
-,hypotension,6
vitamin,hypercalcemia,6
insulin,allergic,6
ethambutol,loss,6
ethambutol,toxicity,6
drug,hepatitis,6
captopril,asthma,6
mitomycin,uremic,6
-,promyelocytic,6
c,syndrome,6
verapamil,tachycardia,6
l,s,6
olanzapine,syndrome,6
5,neurotoxicity,6
propylthiouracil,hyperthyroidism,6
erlotinib,ild,6
cs,cutaneous,6
ranibizumab,ocular,5
risperidone,symptoms,5
clozapine,tardive,5
morphine,respiratory,5
penicillamine,neurologic,5
disulfiram,hepatitis,5
ticlopidine,marrow,5
valproic,hyperammonemia,5
-,reaction,5
risperidone,symptom,5
chemotherapy,colitis,5
insulin,lipohypertrophy,5
methotrexate,failure,5
pamidronate,hypercalcemia,5
cisplatin,hypersensitivity,5
sulfasalazine,syndrome,5
l,acute,5
tamoxifen,endometriosis,5
vigabatrin,field,5
vigabatrin,visual,5
vincristine,loss,5
lithium,renal,5
-,ten,5
ranibizumab,hypertension,5
capecitabine,allergic,5
etanercept,symptom,5
simvastatin,rhabdomyolysis,5
acid,disease,5
chemotherapy,of,5
norethisterone,diabetes,5
drug,hepatotoxicity,5
clarithromycin,fulminant,5
benzarone,hepatotoxicity,5
isoniazid,pellagra,5
leflunomide,weight,5
lithium,bipolar,5
fluvoxamine,increased,5
c,uremic,5
alpha,-,5
sumatriptan,artery,5
sumatriptan,disease,5
leflunomide,loss,5
alprazolam,panic,5
acetate,cancer,5
fluvoxamine,libido,5
clarithromycin,rhabdomyolysis,5
drug,loss,5
l,seizures,5
-,neurologic,5
alpha,s,5
asparaginase,acute,5
gemcitabine,toxicity,5
lovastatin,rhabdomyolysis,5
cisplatin,reactions,5
ifn,graves,5
clarithromycin,liver,5
drug,tardive,5
drug,dyskinesia,5
amantadine,corneal,5
rituximab,boop,5
mtx,pneumonitis,5
beta,ms,5
